,Vehicle_Model,Mileage,Reported_Issues,Vehicle_Age,Fuel_Type,Transmission_Type,Engine_Size,Tire_Condition,Brake_Condition,Battery_Status,Need_Maintenance
0,Truck,58765,0,4,Electric,Automatic,2000,New,New,Weak,1
1,Van,60353,1,7,Electric,Automatic,2500,New,New,Weak,1
2,Bus,68072,0,2,Electric,Automatic,1500,New,Good,Weak,1
3,Bus,60849,4,5,Petrol,Automatic,2500,New,Worn Out,New,1
4,Bus,45742,5,1,Petrol,Manual,2000,Good,Good,Weak,1
5,Truck,31653,2,1,Diesel,Automatic,800,Worn Out,Good,New,0
6,Motorcycle,51211,2,8,Diesel,Automatic,2500,New,Good,New,0
7,Van,79093,2,2,Petrol,Automatic,2000,Good,New,New,1
8,SUV,59673,2,6,Electric,Manual,800,Worn Out,Good,Weak,1
9,Bus,37001,2,9,Diesel,Automatic,1500,Worn Out,New,New,0
10,Bus,49494,5,10,Electric,Automatic,1000,New,New,New,1
11,Car,71128,3,4,Petrol,Automatic,1000,Worn Out,New,Weak,1
12,Bus,61711,4,8,Petrol,Automatic,2000,Worn Out,New,Weak,1
13,Car,37517,4,3,Petrol,Manual,2500,New,New,Good,1
14,Car,51152,5,6,Diesel,Manual,2500,Worn Out,Good,New,1
15,SUV,61396,5,1,Petrol,Manual,1500,Good,Worn Out,Weak,1
16,Bus,64440,0,7,Diesel,Manual,800,Worn Out,Good,New,0
17,Motorcycle,37956,0,3,Electric,Automatic,1000,Worn Out,New,New,0
18,Bus,44751,3,3,Diesel,Automatic,1000,Good,Good,New,1
19,Bus,41951,1,7,Petrol,Automatic,1000,New,Worn Out,New,1
20,Motorcycle,45495,1,6,Diesel,Manual,800,Worn Out,Good,Weak,1
21,SUV,63280,3,2,Diesel,Automatic,800,Worn Out,Good,Good,1
22,Motorcycle,79936,0,10,Electric,Automatic,1500,Worn Out,New,Weak,1
23,Bus,74528,1,7,Electric,Automatic,2000,Worn Out,Good,New,0
24,Car,34005,0,2,Diesel,Manual,2500,Good,Worn Out,Weak,1
25,Car,49957,5,7,Electric,Automatic,800,Worn Out,New,Good,1
26,Motorcycle,36652,5,9,Electric,Automatic,2000,Good,New,Weak,1
27,Motorcycle,49616,4,2,Electric,Manual,1000,Good,Worn Out,Weak,1
28,SUV,65381,1,8,Petrol,Manual,2500,New,Good,Good,0
29,SUV,67982,5,7,Diesel,Automatic,2500,New,Good,Weak,1
30,Motorcycle,33189,1,3,Petrol,Manual,1000,Good,Worn Out,Weak,1
31,SUV,33202,4,8,Petrol,Manual,800,Good,Worn Out,New,1
32,Motorcycle,32700,5,4,Petrol,Manual,2500,New,Good,New,1
33,Truck,37777,4,5,Electric,Automatic,800,Worn Out,New,Good,1
34,SUV,66067,1,9,Diesel,Manual,800,Good,New,New,0
35,Truck,55518,4,8,Diesel,Automatic,2000,New,Worn Out,Weak,1
36,Truck,48586,2,10,Diesel,Manual,800,Good,Good,New,1
37,Truck,43649,1,9,Petrol,Automatic,1000,New,New,Good,0
38,Truck,37573,1,9,Petrol,Manual,1500,Worn Out,New,Good,0
39,SUV,66627,1,4,Petrol,Manual,1000,New,Worn Out,Good,1
40,Truck,74757,3,3,Diesel,Manual,2000,New,Worn Out,New,1
41,Motorcycle,64175,5,9,Electric,Manual,2500,New,New,Good,1
42,Motorcycle,77181,4,9,Petrol,Manual,1000,New,Worn Out,Weak,1
43,Truck,48812,3,1,Electric,Manual,1500,Good,New,Weak,1
44,Motorcycle,58511,2,3,Electric,Automatic,1000,Worn Out,Good,Weak,1
45,Motorcycle,73244,5,5,Diesel,Automatic,2500,Good,New,Weak,1
46,Car,72696,2,2,Diesel,Manual,800,New,Good,Good,0
47,Truck,57809,2,2,Diesel,Automatic,1500,New,Worn Out,Good,1
48,Motorcycle,47601,0,3,Petrol,Manual,800,New,Worn Out,New,1
49,Motorcycle,31881,4,2,Electric,Manual,2500,Good,Good,Good,1
50,Motorcycle,34015,1,2,Electric,Manual,1000,Good,Good,Weak,1
51,Motorcycle,37195,2,9,Diesel,Manual,800,New,Good,Weak,1
52,Van,53431,3,10,Electric,Manual,2500,Good,Good,New,1
53,Bus,63839,1,10,Petrol,Manual,1000,New,Good,New,0
54,Bus,60009,4,10,Electric,Manual,2500,Good,New,New,1
55,Motorcycle,79634,5,9,Diesel,Automatic,1000,Good,Good,New,1
56,Motorcycle,67066,4,3,Petrol,Automatic,1500,Good,New,New,1
57,Van,57341,1,1,Diesel,Manual,2500,New,Good,Good,1
58,Truck,58631,5,8,Diesel,Manual,2500,Good,Good,Weak,1
59,Van,35933,5,7,Petrol,Automatic,1000,Worn Out,Worn Out,Weak,1
60,Van,49770,5,4,Petrol,Manual,2000,New,New,New,1
61,Motorcycle,55950,3,3,Electric,Manual,1000,Worn Out,Worn Out,Weak,1
62,Car,70999,3,1,Petrol,Automatic,1500,Good,New,Weak,1
63,Car,75317,4,1,Electric,Manual,2000,Good,New,Good,1
64,Truck,78018,5,6,Diesel,Automatic,1000,New,Worn Out,Weak,1
65,SUV,36869,5,5,Petrol,Automatic,2000,New,Good,New,1
66,Motorcycle,51458,4,6,Diesel,Automatic,1000,Worn Out,Worn Out,Weak,1
67,Truck,61408,4,5,Diesel,Manual,2500,Worn Out,Good,New,1
68,Truck,70448,5,4,Diesel,Manual,1000,Worn Out,Good,Weak,1
69,Van,59752,2,4,Petrol,Automatic,2000,Good,New,Good,1
70,Car,48087,5,3,Petrol,Automatic,800,Good,Good,Good,1
71,Van,68912,4,7,Diesel,Automatic,2500,Worn Out,Good,New,1
72,Van,42461,4,6,Electric,Manual,800,Good,Worn Out,New,1
73,Truck,30742,3,3,Electric,Automatic,2500,Good,New,New,1
74,Motorcycle,43603,0,4,Diesel,Automatic,2500,Good,New,Good,0
75,Van,56422,3,9,Diesel,Manual,1500,New,New,New,0
76,Bus,54305,3,8,Electric,Automatic,800,Worn Out,Worn Out,Weak,1
77,Van,44627,2,4,Petrol,Manual,2500,Worn Out,Worn Out,Good,1
78,SUV,76781,5,8,Petrol,Manual,800,Worn Out,Worn Out,Good,1
79,Car,36238,4,3,Electric,Manual,1000,Worn Out,Good,New,1
80,Motorcycle,46806,2,9,Diesel,Automatic,1500,Good,New,Weak,1
81,Van,37808,0,3,Petrol,Automatic,1000,Good,Good,Weak,1
82,Van,70553,2,10,Diesel,Manual,1500,Good,Good,Weak,1
83,Truck,73343,5,2,Electric,Manual,2000,New,New,New,1
84,Bus,46215,1,6,Diesel,Automatic,2500,Worn Out,New,New,1
85,Motorcycle,67261,2,8,Electric,Manual,1000,Good,New,Good,1
86,SUV,62166,3,2,Petrol,Automatic,800,Worn Out,New,Weak,1
87,Van,31488,3,10,Electric,Manual,800,Good,Worn Out,New,1
88,Motorcycle,58894,2,7,Electric,Automatic,800,New,Worn Out,New,1
89,Truck,36051,2,9,Diesel,Automatic,800,Worn Out,Worn Out,Good,1
90,Truck,36248,5,6,Diesel,Manual,1000,New,Worn Out,New,1
91,Motorcycle,71138,0,3,Electric,Manual,1500,New,New,Weak,1
92,SUV,50978,0,1,Electric,Automatic,800,New,Good,New,0
93,Motorcycle,40622,5,10,Electric,Automatic,1000,Worn Out,New,Weak,1
94,Car,77026,0,5,Diesel,Manual,2000,Good,Worn Out,New,1
95,Motorcycle,31968,0,1,Diesel,Manual,1000,Worn Out,Good,Weak,1
96,Van,74433,4,10,Electric,Automatic,1500,New,New,Good,1
97,Car,45688,5,9,Electric,Manual,800,Good,Worn Out,New,1
98,Car,78209,0,4,Diesel,Manual,2500,New,New,New,0
99,Van,51487,5,8,Diesel,Manual,2000,New,New,New,1
100,Car,52126,0,7,Electric,Manual,2000,Good,Worn Out,Weak,1
101,Car,49535,0,5,Electric,Automatic,1000,New,Good,New,0
102,Van,61045,0,7,Electric,Manual,800,New,New,Weak,1
103,Motorcycle,60440,4,7,Petrol,Automatic,2000,Good,Good,Weak,1
104,Motorcycle,73210,0,9,Electric,Automatic,800,Worn Out,Worn Out,Good,1
105,Bus,66445,3,5,Diesel,Manual,800,Worn Out,Worn Out,New,1
106,Van,59388,5,4,Diesel,Manual,2000,Good,Worn Out,Good,1
107,Motorcycle,61888,5,5,Diesel,Manual,2500,New,Good,New,1
108,Car,45925,1,9,Electric,Automatic,800,Worn Out,New,New,1
109,Bus,44497,5,9,Electric,Automatic,1000,New,Good,New,1
